EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
Recycle,2,2,29724.98657299999,59802.0,29950.204496499995,59784.0,45,26
Recycle,2,2,30166.626677999968,59804.0,31219.835418499984,59805.0,45,26
Recycle,2,2,31397.75835699998,59819.0,31221.076225500023,59814.0,45,26
Recycle,2,2,31458.045524500012,59825.0,31296.22563250003,59875.0,45,26
Recycle,2,2,31491.67000549999,59874.0,31431.11778850003,59894.0,45,26
Recycle,2,2,31618.25345900001,59879.0,31462.421807499984,59902.0,45,26
Recycle,2,2,31738.44699199997,59903.0,31814.22245099998,59907.0,45,26
Recycle,2,2,31747.044351999997,59912.0,31863.165478000003,59914.0,45,26
Recycle,2,2,31807.164620999996,59912.0,31963.63473250001,59915.0,45,26
Recycle,2,2,31943.745594499967,59913.0,31981.946846500025,59924.0,45,26
Recycle,2,2,31989.001411999972,59923.0,32000.239237,59926.0,45,26
Recycle,2,2,32011.46135749999,59924.0,32007.27291999997,59945.0,45,26
Recycle,2,2,32055.43283699999,59970.0,32158.722165999996,59960.0,45,26
Recycle,2,2,32160.674266,59973.0,32259.9576565,59965.0,45,26
Recycle,2,2,32231.699705000025,60006.0,32530.765891499996,59990.0,45,26
Recycle,2,2,32285.139650999987,60007.0,32622.825780500014,60015.0,45,26
Recycle,2,2,32301.016505999945,60008.0,32628.71850099999,60057.0,45,26
Recycle,2,2,32326.621892999996,60026.0,32721.870534999987,60059.0,45,26
Recycle,2,2,32468.100389,60065.0,32899.50424200003,60067.0,45,26
Recycle,2,2,32663.5471055,60089.0,32951.02488749998,60106.0,45,26
Recycle,2,2,32671.32255249998,60106.0,33015.34070500003,60112.0,45,26
Recycle,2,2,32693.0301445,60106.0,33236.04464000001,60118.0,45,26
Recycle,2,2,32758.500205499993,60111.0,33253.02234849997,60119.0,45,26
Recycle,2,2,32882.81445599997,60119.0,33512.22053749999,60121.0,45,26
Recycle,2,2,32967.162433500016,60218.0,34184.322814000014,60316.0,45,26
Recycle,1,2,25979.117573499996,43010.0,25558.501570500008,43102.0,907,211
Recycle,1,2,25983.536634500007,43098.0,26015.088985500006,43161.0,907,211
Recycle,1,2,26088.071387000004,43144.0,26142.869836000005,43174.0,907,211
Recycle,1,2,26091.893021000007,43162.0,26157.41310099999,43188.0,907,211
Recycle,1,2,26150.324009000014,43210.0,26175.925293999997,43189.0,907,211
Recycle,1,2,26185.87506299999,43212.0,26239.75169549998,43209.0,907,211
Recycle,1,2,26269.620712499982,43213.0,26468.779215999988,43253.0,907,211
Recycle,1,2,26337.645810500002,43227.0,26521.21472300001,43261.0,907,211
Recycle,1,2,26539.028392999986,43252.0,26568.175627000004,43266.0,907,211
Recycle,1,2,26546.556999000008,43255.0,26585.977833499997,43267.0,907,211
Recycle,1,2,26600.1119155,43259.0,26647.34084550002,43267.0,907,211
Recycle,1,2,26601.18662149999,43263.0,26658.576313,43273.0,907,211
Recycle,1,2,26668.603618499998,43309.0,26693.56541850001,43279.0,907,211
Recycle,1,2,26688.195592499993,43362.0,26824.49215099998,43299.0,907,211
Recycle,1,2,26812.71689750001,43366.0,26893.179714999984,43356.0,907,211
Recycle,1,2,26830.767034500008,43369.0,26920.822456499987,43367.0,907,211
Recycle,1,2,26896.33981650001,43369.0,26990.916887999996,43380.0,907,211
Recycle,1,2,26942.3571945,43382.0,27057.06874700002,43404.0,907,211
Recycle,1,2,26964.37338099999,43405.0,27097.898792999975,43413.0,907,211
Recycle,1,2,27020.16209349998,43410.0,27147.562007000004,43440.0,907,211
Recycle,1,2,27094.639042499984,43412.0,27174.831838000006,43465.0,907,211
Recycle,1,2,27132.720978999983,43417.0,27178.127212000018,43469.0,907,211
Recycle,1,2,27252.513651000016,43462.0,27186.58391150002,43476.0,907,211
Recycle,1,2,27714.82067299999,43473.0,27226.04353550001,43481.0,907,211
Recycle,1,2,28025.30924950001,43566.0,27531.5591655,43591.0,907,211
Recycle,1,2,25669.488967,40361.0,26022.14720449999,40264.0,738,201
Recycle,1,2,25968.872102999994,40361.0,28416.100360499986,40303.0,738,201
Recycle,1,2,27673.839902500007,40378.0,28476.76897349999,40400.0,738,201
Recycle,1,2,27951.84184900001,40407.0,28494.219263499992,40402.0,738,201
Recycle,1,2,28347.853721500003,40409.0,28542.73916900002,40451.0,738,201
Recycle,1,2,28363.25119250001,40454.0,28659.820414500013,40459.0,738,201
Recycle,1,2,28433.05445200001,40462.0,28671.632976499983,40462.0,738,201
Recycle,1,2,28668.449451500004,40466.0,28686.96756499998,40464.0,738,201
Recycle,1,2,28790.97044,40470.0,28742.62508000002,40470.0,738,201
Recycle,1,2,28804.43120800001,40508.0,28788.870748999994,40503.0,738,201
Recycle,1,2,28829.560467499996,40511.0,28834.223718499994,40508.0,738,201
Recycle,1,2,28847.549073499984,40551.0,28990.20845049998,40509.0,738,201
Recycle,1,2,28974.379653999964,40552.0,29023.800830499993,40586.0,738,201
Recycle,1,2,29008.438702499967,40565.0,29056.356436499995,40593.0,738,201
Recycle,1,2,29096.165738499996,40573.0,29074.767507499982,40597.0,738,201
Recycle,1,2,29104.8829445,40605.0,29083.17930649999,40611.0,738,201
Recycle,1,2,29180.75331749999,40642.0,29164.01066849999,40654.0,738,201
Recycle,1,2,29256.070356000004,40654.0,29177.892308000006,40659.0,738,201
Recycle,1,2,29265.55374599998,40659.0,29281.882142499988,40661.0,738,201
Recycle,1,2,29307.32518099999,40663.0,29292.667851500024,40662.0,738,201
Recycle,1,2,29348.77220149999,40701.0,29369.215447000013,40701.0,738,201
Recycle,1,2,29402.499147500002,40702.0,29432.29302699998,40702.0,738,201
Recycle,1,2,29444.19949899999,40710.0,29436.566551999997,40703.0,738,201
Recycle,1,2,29794.716459500003,40729.0,29546.733071000017,40753.0,738,201
Recycle,1,2,30138.2292065,40763.0,29729.62753999999,40862.0,738,201
Recycle,1,2,26564.39304649998,41781.0,25211.683413500003,41762.0,582,201
Recycle,1,2,26721.994047999997,41817.0,26343.38348549999,41772.0,582,201
Recycle,1,2,26757.70627599999,41860.0,26618.573925000004,41853.0,582,201
Recycle,1,2,26804.8810625,41862.0,26722.266133499987,41855.0,582,201
Recycle,1,2,26957.30324299999,41865.0,26846.141958,41862.0,582,201
Recycle,1,2,27111.229378499993,41899.0,26943.549111499997,41869.0,582,201
Recycle,1,2,27241.159806000014,41911.0,27045.483313000004,41902.0,582,201
Recycle,1,2,27278.830463499984,41966.0,27140.5391455,41955.0,582,201
Recycle,1,2,27369.37190349999,41967.0,27163.605613999993,41955.0,582,201
Recycle,1,2,27445.40259850002,41967.0,27198.33344249999,42011.0,582,201
Recycle,1,2,27464.633082499993,41973.0,27410.05988650001,42017.0,582,201
Recycle,1,2,27502.420776999996,41981.0,27423.404180500005,42048.0,582,201
Recycle,1,2,27507.888183500014,42000.0,27481.089954999996,42056.0,582,201
Recycle,1,2,27572.470297,42007.0,27481.680613999997,42058.0,582,201
Recycle,1,2,27691.021240000013,42056.0,27507.767756999994,42065.0,582,201
Recycle,1,2,27709.084025499993,42058.0,27547.547852999996,42066.0,582,201
Recycle,1,2,27758.975099500007,42067.0,27586.150518499988,42068.0,582,201
Recycle,1,2,27824.69919899999,42077.0,27602.87001699999,42069.0,582,201
Recycle,1,2,27889.949588999993,42092.0,27669.134983999993,42074.0,582,201
Recycle,1,2,27944.59119949999,42099.0,27684.522407499986,42088.0,582,201
Recycle,1,2,28036.660749000013,42103.0,27693.657440999978,42093.0,582,201
Recycle,1,2,28050.54912000001,42110.0,27759.691281500018,42099.0,582,201
Recycle,1,2,28157.03043899999,42155.0,27814.57335699999,42209.0,582,201
Recycle,1,2,28282.419947499988,42165.0,27899.938029000008,42258.0,582,201
Recycle,1,2,28996.66353000003,42271.0,27973.910816999996,42304.0,582,201
Recycle,1,2,25449.71897649999,49137.0,25403.88433900001,49174.0,777,243
Recycle,1,2,27060.256816,49282.0,26189.679456999973,49275.0,777,243
Recycle,1,2,27103.07258250001,49324.0,27286.518947999983,49287.0,777,243
Recycle,1,2,27148.549195500007,49372.0,27740.928109499986,49322.0,777,243
Recycle,1,2,27172.283764500007,49377.0,27981.192959500007,49379.0,777,243
Recycle,1,2,27197.71097700001,49389.0,28096.75318950001,49383.0,777,243
Recycle,1,2,27479.302931500006,49466.0,28098.12143450002,49386.0,777,243
Recycle,1,2,27543.298126999976,49477.0,28193.427655999985,49390.0,777,243
Recycle,1,2,27618.324970499987,49479.0,28198.905511000004,49391.0,777,243
Recycle,1,2,27642.00586849998,49482.0,28201.41517099999,49395.0,777,243
Recycle,1,2,27644.60884150001,49484.0,28389.797976,49426.0,777,243
Recycle,1,2,27691.566859,49489.0,28581.456684500008,49471.0,777,243
Recycle,1,2,27776.090633500018,49489.0,28657.682907000002,49484.0,777,243
Recycle,1,2,27813.165867499996,49490.0,28694.14838599998,49484.0,777,243
Recycle,1,2,27851.04213800001,49492.0,28706.580669499974,49490.0,777,243
Recycle,1,2,27858.241960500007,49572.0,28771.59341849999,49506.0,777,243
